node_name	node_type
CHEBI:33791	0
CHEBI:33792	0
CHEBI:36587	0
CHEBI:36080	0
PR:000000001	0
PR:000001002	0
PR:000001003	0
PR:000001004	0
PR:000001006	0
PR:000001018	0
PR:000001022	0
PR:000001083	0
PR:000001084	0
PR:000001281	0
PR:000001289	0
PR:000001308	0
PR:000001320	0
PR:000001327	0
PR:000001332	0
PR:000001345	0
PR:000001355	0
PR:000001753	0
PR:000001785	0
PR:000001809	0
PR:000001810	0
PR:000001833	0
PR:000001836	0
PR:000001839	0
PR:000001843	0
PR:000001865	0
PR:000001867	0
PR:000001869	0
PR:000001874	0
PR:000001879	0
PR:000001889	0
PR:000001892	0
PR:000001896	0
PR:000001898	0
PR:000001932	0
PR:000001937	0
PR:000001944	0
PR:000001945	0
PR:000001954	0
PR:000001969	0
PR:000001971	0
PR:000002976	0
PR:000005307	0
PR:000007499	0
PR:000007597	0
PR:000007857	0
PR:000007858	0
PR:000009978	0
PR:000010543	0
PR:000010799	0
PR:000014362	0
PR:000014841	0
PR:000016043	0
PR:000025796	0
PR:000030035	0
PR:000036194	0
PR:000029032	0
CHEBI:35238	0
CHEBI:60466	0
CHEBI:35472	0
CHEBI:35554	0
CHEBI:35942	0
CHEBI:35507	0
CHEBI:35522	0
CHEBI:37886	0
CHEBI:35569	0
CHEBI:48540	0
CHEBI:35524	0
CHEBI:37962	0
CHEBI:48539	0
CHEBI:35620	0
CHEBI:38147	0
CHEBI:50514	0
CHEBI:35722	0
CHEBI:36237	0
CHEBI:36344	0
CHEBI:37164	0
CHEBI:38323	0
CHEBI:48560	0
CHEBI:38324	0
CHEBI:38325	0
CHEBI:39144	0
CHEBI:39142	0
CHEBI:43176	0
CHEBI:46629	0
CHEBI:46662	0
CHEBI:60004	0
CHEBI:46723	0
CHEBI:46883	0
CHEBI:50325	0
CHEBI:48354	0
CHEBI:50297	0
CHEBI:50299	0
CHEBI:50329	0
CHEBI:50910	0
CHEBI:52254	0
CHEBI:52255	0
CHEBI:53309	0
CHEBI:5391	0
CHEBI:64628	0
CHEBI:59740	0
CHEBI:59869	0
CHEBI:78608	0
CHEBI:60027	0
CHEBI:60164	0
CHEBI:62031	0
CHEBI:64049	0
CHEBI:65255	0
CHEBI:77974	0
CHEBI:65256	0
CHEBI:72587	0
CHEBI:73398	0
CHEBI:73541	0
CHEBI:75763	0
CHEBI:75787	0
CHEBI:76206	0
CHEBI:78675	0
CHEBI:75767	0
CHEBI:76924	0
CHEBI:76946	0
CHEBI:84735	0
CHEBI:75768	0
CHEBI:83039	0
CHEBI:75771	0
CHEBI:77746	0
CHEBI:75772	0
CHEBI:76759	0
CHEBI:76764	0
CHEBI:76807	0
CHEBI:76967	0
CHEBI:76969	0
CHEBI:76971	0
CHEBI:77941	0
CHEBI:83056	0
CHEBI:83057	0
CL:0000003	0
CL:0000000	0
CL:0001061	0
CL:0000005	0
CL:0000057	0
CL:0002240	0
CL:0002363	0
CL:0002548	0
CL:0002553	0
CL:0002557	0
CL:0002620	0
CL:0009100	0
CL:0011021	0
CL:0011022	0
CL:0011027	0
CL:1000303	0
CL:1000306	0
CL:1000307	0
CL:1001609	0
CL:2000042	0
CL:2000051	0
CL:2000063	0
CL:2000066	0
CL:2000067	0
CL:2000068	0
CL:2000069	0
CL:2000070	0
CL:0000006	0
CL:0000101	0
CL:0000206	0
CL:0000531	0
CL:0009000	0
CL:3000004	0
CL:0000098	0
CL:0000029	0
CL:0000099	0
CL:0000104	0
CL:0000107	0
CL:0000108	0
CL:0000117	0
CL:0000209	0
CL:0000210	0
CL:0000381	0
CL:0000526	0
CL:0000527	0
CL:0000530	0
CL:0000598	0
CL:0000679	0
CL:0008028	0
CL:0010012	0
CL:0010022	0
CL:2000029	0
CL:2000032	0
CL:0000007	0
CL:0002321	0
CL:0011012	0
CL:0000008	0
CL:0000333	0
CL:0000011	0
CL:2000073	0
CL:0000014	0
CL:0000034	0
CL:0000048	0
CL:0000723	0
CL:0000586	0
CL:0000670	0
CL:0000021	0
CL:0000300	0
CL:0000022	0
CL:0000023	0
CL:0000024	0
CL:0000675	0
CL:0000548	0
CL:0000031	0
CL:0000988	0
CL:0000025	0
CL:0000027	0
CL:0000192	0
CL:0000358	0
CL:0000359	0
CL:0002243	0
CL:0002504	0
CL:0002598	0
CL:0002599	0
CL:0002600	0
CL:0002601	0
CL:0009052	0
CL:0009093	0
CL:0019018	0
CL:0019019	0
CL:1000286	0
CL:1000443	0
CL:0000030	0
CL:0000055	0
CL:0000058	0
CL:0000541	0
CL:0000680	0
CL:0007009	0
CL:0000035	0
CL:0000064	0
CL:0000183	0
CL:0000211	0
CL:0000215	0
CL:0000225	0
CL:0000226	0
CL:0000227	0
CL:0000228	0
CL:0000234	0
CL:0000255	0
CL:0000257	0
CL:0000293	0
CL:0000325	0
CL:0000412	0
CL:0000413	0
CL:0000473	0
CL:0000521	0
CL:0000630	0
CL:0002242	0
CL:0002371	0
CL:0007001	0
CL:0010017	0
CL:0011026	0
CL:0000037	0
CL:0000052	0
CL:1000428	0
CL:0000036	0
CL:0000738	0
CL:0008001	0
CL:1001610	0
CL:0000050	0
CL:0000051	0
CL:0000339	0
CL:0000515	0
CL:0000557	0
CL:0000566	0
CL:0000576	0
CL:0000765	0
CL:0000838	0
CL:0000839	0
CL:0001059	0
CL:0002009	0
CL:0002187	0
CL:0002351	0
CL:0002375	0
CL:0002453	0
CL:0002676	0
CL:0000038	0
CL:0000764	0
CL:0000232	0
CL:0000547	0
CL:0000553	0
CL:0000836	0
CL:0001022	0
CL:0002191	0
CL:0002194	0
CL:0000040	0
CL:0000556	0
CL:0000559	0
CL:0000766	0
CL:0000834	0
CL:0000835	0
CL:0001029	0
CL:0000042	0
CL:0000564	0
CL:0000047	0
CL:0000134	0
CL:0000355	0
CL:0002183	0
CL:0002195	0
CL:0002664	0
CL:0002672	0
CL:0005026	0
CL:0000095	0
CL:0000878	0
CL:0002590	0
CL:0009004	0
CL:1000042	0
CL:1000298	0
CL:1001602	0
CL:2000044	0
CL:0000068	0
CL:0000075	0
CL:0000079	0
CL:0000083	0
CL:0000150	0
CL:0002076	0
CL:0002077	0
CL:0002078	0
CL:0002222	0
CL:0002546	0
CL:0008019	0
CL:0008034	0
CL:1000415	0
CL:0000049	0
CL:0001060	0
CL:0000056	0
CL:0000136	0
CL:0000499	0
CL:0002503	0
CL:2000072	0
CL:0000067	0
CL:0002332	0
CL:0000076	0
CL:0000082	0
CL:0000307	0
CL:0000362	0
CL:0002178	0
CL:0002202	0
CL:0002251	0
CL:0002252	0
CL:0002308	0
CL:0002328	0
CL:0002563	0
CL:0002577	0
CL:0002634	0
CL:0009084	0
CL:0011108	0
CL:1001433	0
CL:2000064	0
CL:0000069	0
CL:0000071	0
CL:0000077	0
CL:0000240	0
CL:0000575	0
CL:1001576	0
CL:0002139	0
CL:1000414	0
CL:1001567	0
CL:1001568	0
CL:0000213	0
CL:0000115	0
CL:0000214	0
CL:0000084	0
CL:0000542	0
CL:0009018	0
CL:0009044	0
CL:0000092	0
CL:0000094	0
CL:0000235	0
CL:0000782	0
CL:0000889	0
CL:0002092	0
CL:0000100	0
CL:0000103	0
CL:0000397	0
CL:0000402	0
